System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-28,15:45:44.467,0.16,2.53,0.06,1.12,0.04,18.02,1.00,0.41,0.0000,0.0021, 12760,0.49,0.55,97,45,8528.34,3369.15,2601.46,5.06,126.57,0.33,8.19,0.03,1.60,0.02,1.22,0.02,2.09,0.99,0.39,0.0000,0.0013, 22680,0.45,0.01,97,38,1643.16,1025.37,2601.46,3.21,80.13,0.06,1.58,5.80,75.93,0.03,18.23,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.53,0.19,69.67,0.00,100.00,0.00,0.00,0.00,0.00,78.82,53.19,4.49 ,4.40 ,428504.79 ,434082.29 ,3.00,3.00,0.40,2.53,0.16,1.12,0.00,3.73,1.00,0.42,0.0000,0.0036,     0,14.02,85.98,0.00,0.00,0.00,47,1027.88,406.94,2601.46,5.05,126.29,0.79,19.76,
2024-02-28,15:45:45.467,0.16,2.49,0.06,1.12,0.05,17.59,1.00,0.40,0.0000,0.0021, 13760,0.46,0.51,98,46,8312.78,3337.86,2600.20,4.98,124.52,0.32,7.99,0.03,1.56,0.02,1.22,0.01,2.14,1.00,0.39,0.0000,0.0013, 23400,0.43,0.01,97,39,1641.64,1053.23,2600.20,3.12,77.93,0.06,1.58,5.76,76.50,0.00,17.75,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.27,0.13,69.93,0.00,100.00,0.00,0.00,0.00,0.00,78.90,53.12,4.45 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.38,2.47,0.15,1.12,0.00,3.62,1.00,0.41,0.0000,0.0036,   120,13.82,86.18,0.00,0.00,0.00,48,991.47,400.86,2600.20,4.95,123.67,0.76,19.07,
2024-02-28,15:45:46.468,0.17,2.54,0.07,1.12,0.04,18.59,1.00,0.40,0.0000,0.0022, 14320,0.45,0.50,99,46,8641.37,3404.43,2597.65,5.08,126.91,0.33,8.32,0.03,1.59,0.02,1.22,0.01,2.11,1.00,0.39,0.0000,0.0013, 23160,0.42,0.01,97,39,1569.99,988.82,2597.65,3.18,79.39,0.06,1.51,5.87,76.63,0.01,17.49,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.30,0.14,70.00,0.00,100.00,0.00,0.00,0.00,0.00,78.99,53.05,4.41 ,4.39 ,0.00 ,0.33 ,3.00,3.00,0.40,2.55,0.16,1.12,0.00,3.83,1.00,0.41,0.0000,0.0037,    80,14.13,85.87,0.00,0.00,0.00,47,1043.01,409.54,2597.65,5.09,127.34,0.80,20.08,
2024-02-28,15:45:47.468,0.17,2.49,0.07,1.12,0.03,18.67,1.00,0.40,0.0000,0.0022, 15040,0.44,0.49,99,46,8608.99,3453.29,2598.87,4.99,124.65,0.33,8.28,0.03,1.57,0.02,1.22,0.01,2.14,1.00,0.39,0.0000,0.0013, 23480,0.41,0.01,97,38,1634.83,1042.39,2598.87,3.14,78.42,0.06,1.57,5.96,78.22,0.01,15.81,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.29,0.13,69.94,0.00,100.00,0.00,0.00,0.00,0.00,79.70,53.11,4.41 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.40,2.53,0.16,1.12,0.00,3.86,1.00,0.41,0.0000,0.0037,   200,14.19,85.81,0.00,0.00,0.00,46,1040.30,411.32,2598.87,5.06,126.46,0.80,20.01,
2024-02-28,15:45:48.469,0.17,2.57,0.07,1.12,0.04,18.87,1.00,0.39,0.0000,0.0022, 15360,0.43,0.49,98,46,8717.73,3387.35,2597.46,5.15,128.68,0.34,8.39,0.03,1.65,0.02,1.22,0.01,2.08,1.00,0.39,0.0000,0.0013, 24080,0.41,0.01,97,38,1638.64,991.37,2597.46,3.31,82.64,0.06,1.58,5.85,76.77,0.02,17.36,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.68,0.16,69.60,0.00,100.00,0.00,0.00,0.00,0.00,79.11,53.07,4.41 ,4.40 ,0.17 ,0.33 ,3.00,3.00,0.41,2.57,0.16,1.12,0.00,3.90,1.00,0.41,0.0000,0.0037,   160,14.18,85.82,0.00,0.00,0.00,46,1054.02,410.68,2597.46,5.13,128.33,0.81,20.29,
2024-02-28,15:45:49.468,0.16,2.52,0.06,1.12,0.04,17.58,1.00,0.40,0.0000,0.0021, 15880,0.43,0.48,98,46,8314.62,3297.00,2595.14,5.04,126.09,0.32,8.01,0.03,1.57,0.02,1.21,0.02,2.22,0.99,0.38,0.0000,0.0014, 24000,0.41,0.01,97,38,1638.28,1042.10,2595.14,3.14,78.61,0.06,1.58,5.70,77.09,0.01,17.20,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.75,0.15,69.45,0.00,100.00,0.00,0.00,0.00,0.00,79.11,53.02,4.41 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.39,2.52,0.15,1.12,0.00,3.62,1.00,0.41,0.0000,0.0036,   320,13.80,86.20,0.00,0.00,0.00,47,1005.72,399.57,2595.14,5.03,125.85,0.78,19.38,
2024-02-28,15:45:50.469,0.17,2.47,0.07,1.12,0.06,18.41,1.00,0.41,0.0000,0.0021, 16600,0.47,0.53,93,45,8660.74,3501.68,2598.08,4.95,123.67,0.33,8.33,0.03,1.40,0.02,1.20,0.07,2.58,0.97,0.42,0.0000,0.0016, 24320,0.46,0.01,95,38,1591.00,1138.35,2598.08,2.80,69.88,0.06,1.53,6.04,77.02,0.04,16.90,0.00,100.00,0.00,0.00,0.00,0.00,1.83,31.84,0.30,66.03,0.00,100.00,0.00,0.00,0.00,0.00,79.26,54.01,4.45 ,4.41 ,469543.67 ,588667.19 ,3.00,3.00,0.40,2.55,0.16,1.12,0.00,3.76,1.00,0.41,0.0000,0.0036,   320,14.25,85.75,0.00,0.00,0.00,46,1050.84,412.86,2598.08,5.09,127.26,0.81,20.22,
2024-02-28,15:45:51.469,0.16,2.53,0.07,1.12,0.04,18.47,1.00,0.41,0.0000,0.0022, 16840,0.44,0.50,96,46,8562.30,3390.31,2599.01,5.05,126.28,0.33,8.24,0.03,1.54,0.02,1.22,0.03,2.19,0.98,0.39,0.0000,0.0014, 24000,0.46,0.01,97,38,1623.26,1053.56,2599.01,3.08,77.04,0.06,1.56,5.85,76.49,0.01,17.65,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.96,0.14,69.24,0.00,100.00,0.00,0.00,0.00,0.00,79.19,53.26,4.42 ,4.41 ,0.07 ,0.10 ,3.00,3.00,0.40,2.54,0.16,1.12,0.00,3.78,1.00,0.41,0.0000,0.0037,   240,14.07,85.93,0.00,0.00,0.00,46,1034.32,407.75,2599.01,5.07,126.83,0.80,19.90,
2024-02-28,15:45:52.468,0.16,2.49,0.06,1.12,0.04,18.32,1.00,0.40,0.0000,0.0022, 16520,0.42,0.47,99,46,8368.42,3363.12,2595.80,4.98,124.41,0.32,8.06,0.03,1.55,0.02,1.22,0.01,2.11,1.00,0.39,0.0000,0.0013, 24240,0.43,0.01,97,37,1644.74,1059.63,2595.80,3.10,77.61,0.06,1.58,5.81,76.63,0.01,17.55,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.20,0.18,69.95,0.00,100.00,0.00,0.00,0.00,0.00,79.12,53.04,4.38 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.39,2.50,0.16,1.12,0.00,3.77,1.00,0.40,0.0000,0.0037,   200,13.98,86.02,0.00,0.00,0.00,46,1009.78,404.70,2595.80,4.99,124.76,0.78,19.45,
